domain,sector,state,institution_name
www.iitbbs.ac.in,edu,Odisha,IIT Bhubaneswar
www.nitrkl.ac.in,edu,Odisha,NIT Rourkela
www.nitpy.ac.in,edu,Puducherry,NIT Puducherry
www.pondiuni.edu.in,edu,Puducherry,Pondicherry University
aiimsbathinda.edu.in,edu,Punjab,AIIMS Bathinda
www.cup.edu.in,edu,Punjab,Central University of Punjab
www.iitrpr.ac.in,edu,Punjab,IIT Ropar
www.nitj.ac.in,edu,Punjab,NIT Jalandhar
aiimsjodhpur.edu.in,edu,Rajasthan,AIIMS Jodhpur
iiitkota.ac.in,edu,Rajasthan,IIIT Kota
mnit.ac.in,edu,Rajasthan,NIT Jaipur
www.curaj.ac.in,edu,Rajasthan,Central University of Rajasthan
www.iitj.ac.in,edu,Rajasthan,IIT Jodhpur
nitsikkim.ac.in,edu,Sikkim,NIT Sikkim
www.cus.ac.in,edu,Sikkim,Sikkim University
aiimsmadurai.edu.in,edu,Tamil Nadu,AIIMS Madurai
cutn.ac.in,edu,Tamil Nadu,Central University of Tamil Nadu
imu.edu.in,edu,Tamil Nadu,Indian Maritime University
www.iiitdm.ac.in,edu,Tamil Nadu,IIITDM Kancheepuram
www.iiitt.ac.in,edu,Tamil Nadu,IIIT Tiruchirappalli
www.iitm.ac.in,edu,Tamil Nadu,IIT Madras
aiimsbibinagar.edu.in,edu,Telangana,AIIMS Bibinagar
manuu.edu.in,edu,Telangana,Maulana Azad National Urdu University
ssctu.ac.in,edu,Telangana,Sammakka Sarakka Central Tribal University
uohyd.ac.in,edu,Telangana,University of Hyderabad
www.efluniversity.ac.in,edu,Telangana,English and Foreign Languages University
www.iith.ac.in,edu,Telangana,IIT Hyderabad
www.nitw.ac.in,edu,Telangana,NIT Warangal
iiitagartala.ac.in,edu,Tripura,IIIT Agartala
tripurauniv.ac.in,edu,Tripura,Tripura University
www.nita.ac.in,edu,Tripura,NIT Agartala
aiimsgorakhpur.edu.in,edu,Uttar Pradesh,AIIMS Gorakhpur
amu.ac.in,edu,Uttar Pradesh,Aligarh Muslim University
bhu.ac.in,edu,Uttar Pradesh,Banaras Hindu University
iiita.ac.in,edu,Uttar Pradesh,IIIT Allahabad
rgnau.ac.in,edu,Uttar Pradesh,Rajiv Gandhi National Aviation University
www.aiimsrbl.edu.in,edu,Uttar Pradesh,AIIMS Raebareli
www.allduniv.ac.in,edu,Uttar Pradesh,University of Allahabad
www.bbau.ac.in,edu,Uttar Pradesh,Babasaheb Bhimrao Ambedkar University
www.iiitl.ac.in,edu,Uttar Pradesh,IIIT Lucknow
www.iitbhu.ac.in,edu,Uttar Pradesh,IIT (BHU) Varanasi
www.iitk.ac.in,edu,Uttar Pradesh,IIT Kanpur
www.mnnit.ac.in,edu,Uttar Pradesh,NIT Allahabad
www.rlbcau.ac.in,edu,Uttar Pradesh,Rani Lakshmi Bai Central Agricultural University
aiimsrishikesh.edu.in,edu,Uttarakhand,AIIMS Rishikesh
hnbgu.ac.in,edu,Uttarakhand,Hemwati Nandan Bahuguna Garhwal University
nituk.ac.in,edu,Uttarakhand,NIT Uttarakhand
www.iitr.ac.in,edu,Uttarakhand,IIT Roorkee
aiimskalyani.edu.in,edu,West Bengal,AIIMS Kalyani
iiitkalyani.ac.in,edu,West Bengal,IIIT Kalyani
nitdgp.ac.in,edu,West Bengal,NIT Durgapur
visvabharati.ac.in,edu,West Bengal,Visva-Bharati University
www.iiests.ac.in,edu,West Bengal,IIEST Shibpur
www.iitkgp.ac.in,edu,West Bengal,IIT Kharagpur
andamannicobar.gov.in,gov,Andaman and Nicobar Islands,Government of Andaman and Nicobar Islands
ap.gov.in,gov,Andhra Pradesh,Government of Andhra Pradesh
arunachalpradesh.gov.in,gov,Arunachal Pradesh,Government of Arunachal Pradesh
assam.gov.in,gov,Assam,Government of Assam
state.bihar.gov.in,gov,Bihar,Government of Bihar
chandigarh.gov.in,gov,Chandigarh,Government of Chandigarh
cgstate.gov.in,gov,Chhattisgarh,Government of Chhattisgarh
ddd.gov.in,gov,Dadra and Nagar Haveli and Daman and Diu,Government of Dadra and Nagar Haveli and Daman and Diu
delhi.gov.in,gov,Delhi,Government of Delhi
www.sanskrit.nic.in,gov,Delhi,Central Sanskrit University
goa.gov.in,gov,Goa,Government of Goa
gujaratindia.gov.in,gov,Gujarat,Government of Gujarat
haryana.gov.in,gov,Haryana,Government of Haryana
himachal.gov.in,gov,Himachal Pradesh,Government of Himachal Pradesh
www.jk.gov.in,gov,Jammu and Kashmir,Government of Jammu and Kashmir
jharkhand.gov.in,gov,Jharkhand,Government of Jharkhand
kerala.gov.in,gov,Kerala,Government of Kerala
ladakh.gov.in,gov,Ladakh,Government of Ladakh
lakshadweep.gov.in,gov,Lakshadweep,Government of Lakshadweep
mp.gov.in,gov,Madhya Pradesh,Government of Madhya Pradesh
maharashtra.gov.in,gov,Maharashtra,Government of Maharashtra
manipur.gov.in,gov,Manipur,Government of Manipur
meghalaya.gov.in,gov,Meghalaya,Government of Meghalaya
mizoram.gov.in,gov,Mizoram,Government of Mizoram
nagaland.gov.in,gov,Nagaland,Government of Nagaland
aiimsbhubaneswar.nic.in,gov,Odisha,AIIMS Bhubaneswar
odisha.gov.in,gov,Odisha,Government of Odisha
py.gov.in,gov,Puducherry,Government of Puducherry
punjab.gov.in,gov,Punjab,Government of Punjab
rajasthan.gov.in,gov,Rajasthan,Government of Rajasthan
www.sikkim.gov.in,gov,Sikkim,Government of Sikkim
tn.gov.in,gov,Tamil Nadu,Government of Tamil Nadu
telangana.gov.in,gov,Telangana,Government of Telangana
tripura.gov.in,gov,Tripura,Government of Tripura
up.gov.in,gov,Uttar Pradesh,Government of Uttar Pradesh
uk.gov.in,gov,Uttarakhand,Government of Uttarakhand
wb.gov.in,gov,West Bengal,Government of West Bengal
maharashtra.gov.in,reported_2026,Maharashtra,Government of Maharashtra
